Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1803,Rio de Janeiro,Luanda,Maranhão,513,465,,,0,,,
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,408,374,,,0,,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,420,388,,,0,,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,400,366,,,0,,,
1794,"Bahia, place unspecified",Benguela,"Bahia, place unspecified",524,495,,,0,29,42,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,419,396,,,0,,,
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,502,460,,,0,,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,526,482,,,0,,,
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,520,476,,,0,,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,513,470,,,0,,,
1794,"Bahia, place unspecified",Benguela,"Bahia, place unspecified",175,145,,,0,30,45,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,381,360,,,0,,,
1794,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",553,511,,,0,,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,400,366,,,0,,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,500,458,,,0,,,
1794,"Southeast Brazil, port unspecified",Luanda,Santos,384,363,,,0,,,
1724,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",507,433,,,0,74,34,
1742,Rio de Janeiro,Luanda,Rio de Janeiro,342,310,,,0,,,
1772,Liverpool,Sierra Leone estuary,"St. Kitts, port unspecified",355,290,"0,61702","0,38298",0,,,397
1727,Liverpool,"Africa, port unspecified",Rappahannock,152,125,1,0,0,,,363
1782,,Mauritius (Ile de France),Montevideo,46,40,"0,85","0,15",0,,,
1719,"Bahia, place unspecified",Elmina,"Bahia, place unspecified",492,412,"0,78125","0,21875",0,,,
1724,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",269,239,"0,98148","0,01852",0,,,263
1721,London,Cape Coast Castle,Saint John (Antigua),110,104,"0,90385","0,09615",0,6,46,352
1774,Newport,"Gold Coast, port unspecified","Grenada, place unspecified",60,51,"0,55","0,45",0,,,
1802,"Rhode Island, port unspecified","Africa, port unspecified",Havana,75,60,"0,7","0,3",0,15,,
1769,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,294,240,1,0,0,,,434
1800,"Bahia, place unspecified",Luanda,Rio de Janeiro,495,458,,,0,,,
1800,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",393,364,,,0,,,
1801,Lisbon,Luanda,"Pernambuco, place unspecified",467,423,,,0,,,
1802,Lisbon,Luanda,"Pernambuco, place unspecified",537,479,,,0,,,
1803,"Bahia, place unspecified",Luanda,Maranhão,531,481,,,0,,,
1802,"Bahia, place unspecified",Luanda,Maranhão,462,419,,,0,,,
1803,Rio de Janeiro,Luanda,"Bahia, place unspecified",578,556,,,0,22,35,253
1803,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",464,420,,,0,,,
1803,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",438,402,,,0,,,
1803,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",403,428,,,0,,31,
1803,Lisbon,Luanda,"Pernambuco, place unspecified",623,556,,,0,,,
1804,Rio de Janeiro,Luanda,Rio de Janeiro,372,337,,,0,,,
1803,Lisbon,Luanda,Pará,550,491,,,0,,,
1804,"Bahia, place unspecified",Luanda,Maranhão,720,642,,,0,,,
1804,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",412,368,,,0,,,
1805,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",510,462,,,0,,,
1806,"Pernambuco, place unspecified",Luanda,Maranhão,625,573,,,0,,,
1804,Rio de Janeiro,Luanda,Rio de Janeiro,592,543,,,0,,,
1805,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",591,535,,,0,,,
1778,,Benguela,Pará,547,505,"0,75842","0,24158",0,,42,
1722,"Pernambuco, place unspecified",Elmina,"Pernambuco, place unspecified",388,357,"0,995","0,005",0,,,
1714,"Bahia, place unspecified",Elmina,"Americas, port unspecified",37,33,"0,7027","0,2973",0,,,
1730,"Rhode Island, port unspecified",Banana Islands,,96,,1,0,0,,,
1836,Matanzas,Calabar,Matanzas,518,433,"0,58929","0,41071",0,85,59,242
1857,New York,Cabinda,Kingston,500,362,"0,91057","0,08943",0,138,48,
1763,"Southeast Brazil, port unspecified",Badagry/Apa,Rio de Janeiro,434,406,,,0,,,
1764,"Southeast Brazil, port unspecified","Whydah, Ouidah",Rio de Janeiro,215,190,,,0,,,
1764,"Southeast Brazil, port unspecified","Whydah, Ouidah",Rio de Janeiro,343,307,,,0,,,
1765,"Southeast Brazil, port unspecified",Ardra,Rio de Janeiro,289,270,,,0,,,
1765,"Southeast Brazil, port unspecified",Porto Novo,Rio de Janeiro,202,179,,,0,,,
1766,Rio de Janeiro,Epe,Rio de Janeiro,44,40,,,0,,,
1769,"Southeast Brazil, port unspecified","Whydah, Ouidah",Rio de Janeiro,287,268,,,0,,,
1771,"Southeast Brazil, port unspecified","Costa da Mina, place unspecified",Rio de Janeiro,350,327,,,0,,,
1775,"Bahia, place unspecified",Benguela,"Bahia, place unspecified",352,322,,,0,,,
1775,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,423,396,,,0,,,
