Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1815,Havana,"Africa, port unspecified",Havana,131,115,"0,3043478","0,49565217","0,2",,,151
1816,Havana,"Africa, port unspecified",Havana,274,240,"0,60833335","0,19166666","0,2",,50,191
1817,,"Africa, port unspecified",Havana,369,310,"0,7290323","0,07096774","0,2",,50,
1817,Havana,"Africa, port unspecified",Havana,80,70,"0,44285715","0,35714287","0,2",,51,216
1818,Santander,"Africa, port unspecified",Havana,180,175,"0,58285713","0,21714285","0,2",,46,158
1740,"Rhode Island, port unspecified",Anomabu,Caribbean (colony unspecified),129,100,"0,75","0,25","0,2",29,,
1710,Vlissingen,"West Central Africa and St. Helena, port unspecified",St. Thomas,245,200,"0,67","0,13","0,2",,,
1787,Saint-Malo,"West Central Africa and St. Helena, port unspecified",Léogane,500,500,"0,542","0,258","0,2",0,,
1769,London,Sierra Leone estuary,Charleston,150,150,,,"0,2",0,,102
1715,Nantes,Saint-Louis,Cap Français,560,500,"0,46","0,34","0,2",60,42,154
1716,Nantes,Bonny,Léogane,200,50,"0,48","0,32","0,2",150,,352
1720,Nantes,Popo,Cap Français,126,37,"0,51429","0,28571","0,2",89,92,524
1767,Nantes,Sierra Leone estuary,"Martinique, place unspecified",89,80,"0,3875","0,4125","0,2",,,179
1771,Nantes,"West Central Africa and St. Helena, port unspecified",Port-au-Prince,580,525,"0,57143","0,22857","0,2",55,50,351
1778,Le Havre,"West Central Africa and St. Helena, port unspecified",Cap Français,405,369,"0,5664","0,23306","0,20054",,71,311
1749,"Pernambuco, place unspecified",Luanda,Santos,593,537,,,"0,20067",,,
1863,Lisbon,Ambriz,St. Helena,584,577,"0,62607","0,17324","0,20069",7,14,
1793,Liverpool,Gabon,Montego Bay,286,254,"0,53543","0,26378","0,20079",32,74,263
1691,London,"Whydah, Ouidah","Barbados, place unspecified",598,460,"0,46429","0,33482","0,20089",138,75,318
1716,,Congo North,Curaçao,194,194,"0,66495","0,13402","0,20103",,,
1799,Lisbon,Bissau,Maranhão,203,189,"0,61905","0,17989","0,20106",,99,186
1799,Lisbon,Bissau,Maranhão,205,189,"0,61905","0,17989","0,20106",,99,186
1799,Lisbon,Cacheu,Maranhão,205,189,"0,61905","0,17989","0,20106",,139,179
1799,Lisbon,Bissau,Maranhão,204,189,"0,61905","0,17989","0,20106",,99,186
1799,Lisbon,Bissau,Maranhão,204,189,"0,61905","0,17989","0,20106",,99,186
1764,Dunkerque,"Whydah, Ouidah","Martinique, place unspecified",204,174,"0,38506","0,41379","0,20115",,,398
1762,Zeeland,Cape Lahou,Berbice,319,298,"0,38908","0,40956","0,20137",21,62,280
1778,Zeeland,Cape Lahou,"Suriname, place unspecified",275,267,"0,45247","0,34601","0,20152",8,57,296
1768,Bordeaux,Gambia,Port-au-Prince,172,129,"0,42635658","0,37209302","0,2015504",43,,
1747,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,367,332,,,"0,20163",,,
1792,Liverpool,New Calabar,"Grenada, place unspecified",275,252,"0,44395","0,35426","0,20179",,60,250
1791,London,Popo,"St. Vincent, port unspecified",204,203,"0,44335","0,35468","0,20197",1,,
1724,London,Cabinda,"Jamaica, place unspecified",414,410,"0,6691919","0,12878788","0,2020202",4,,339
1767,Nantes,"Whydah, Ouidah",Léogane,405,381,"0,46194","0,33596","0,2021",24,104,305
1702,London,"Gold Coast, port unspecified","Barbados, place unspecified",473,409,"0,23951","0,55802","0,20247",,,351
1739,Saint-Malo,Little Popo,"Martinique, place unspecified",425,410,"0,57269","0,22467","0,20264",15,115,331
1700,London,"Whydah, Ouidah","Barbados, place unspecified",450,382,"0,41581","0,38144","0,20275",68,,289
1708,Vlissingen,"Africa, port unspecified",St. Thomas,260,212,"0,65566","0,14151","0,20283",,,
1837,Havana,Bonny,Freetown,335,286,"0,78292","0,01423","0,20285",49,29,192
1810,,"Africa, port unspecified",Havana,313,281,"0,60498","0,19217","0,20285",,,
1770,Vlissingen,Malembo,"Suriname, place unspecified",327,326,"0,45313","0,34375","0,20313",1,49,423
1814,"Bahia, place unspecified","Costa da Mina, place unspecified",Freetown,277,251,"0,71315","0,08367","0,20319",,77,193
1795,London,Bance/Bunce Island,Kingston,373,364,"0,51648","0,28022","0,2033",9,43,241
1787,Middelburg,Cape Lahou,"Suriname, place unspecified",386,370,"0,42857","0,36813","0,2033",6,73,368
1789,Liverpool,"West Central Africa and St. Helena, port unspecified","Dominica, place unspecified",264,242,"0,53942","0,25726","0,20332",,,178
1715,Middelburg,"Africa, port unspecified",St. Thomas,145,118,"0,75455","0,06364","0,20354",,,
1749,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",741,499,,,"0,20378",242,38,
1829,"Bahia, place unspecified","Whydah, Ouidah",Freetown,209,155,"0,38816","0,40789","0,20395",54,45,265
1822,"Bahia, place unspecified","Lagos, Onim",Freetown,149,147,"0,69388","0,10204","0,20408",2,54,242
1773,Liverpool,Calabar,"Grenada, place unspecified",228,186,"0,62903","0,16667","0,2043",,,341
1810,Havana,"Africa, port unspecified",Havana,163,137,"0,67883","0,11679","0,20438",,,367
1771,Bordeaux,Gambia,Cap Français,154,137,"0,49635","0,29927","0,20438",,40,237
1815,,"Africa, port unspecified",Havana,201,181,"0,57459","0,22099","0,20442",,,
1817,Havana,"Africa, port unspecified",Havana,150,132,"0,5151515","0,28030303","0,20454545",,,136
1725,London,Sierra Leone estuary,"Montserrat, port unspecified",49,44,"0,59091","0,20455","0,20455",,,
1778,Nantes,"Southeast Africa and Indian Ocean islands, port unspecified",Cap Français,386,386,"0,66839","0,12694","0,20466",0,88,357
1789,Bristol,New Calabar,"Jamaica, place unspecified",283,210,"0,40476","0,39048","0,20476",73,,137
1742,Lorient,"Whydah, Ouidah","Martinique, place unspecified",410,367,"0,30732","0,4878","0,20488",43,111,361
1791,Liverpool,Bonny,"Grenada, place unspecified",325,283,"0,42756","0,36749","0,20495",,,288
1780,Zeeland,Cape Mount (Cape Grand Mount),St. Eustatius,290,283,"0,42756","0,36749","0,20495",7,68,313
1737,Lorient,"Whydah, Ouidah","Martinique, place unspecified",501,439,"0,50797","0,28702","0,20501",,,256
1709,Middelburg,Calabar,St. Thomas,56,48,"0,4359","0,35897","0,20513",,,
1776,Zeeland,Cape Lahou,Demerara,253,229,"0,36681","0,42795","0,20524",21,69,376
1762,Lisbon,Cacheu,Pará,190,158,"0,47458","0,37853","0,20526",,,
1816,,"Africa, port unspecified",Havana,350,302,"0,72185","0,07285","0,2053",,,
1817,Havana,"Africa, port unspecified",Havana,344,302,"0,72185","0,07285","0,2053",,,207
1793,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,284,269,"0,50388","0,2907","0,20543",15,49,173
1803,,"Africa, port unspecified",Havana,444,384,"0,6901","0,10417","0,20573",,,
1793,Zeeland,"Windward Coast, place unspecified",Demerara,173,170,"0,40588","0,38824","0,20588",3,61,550
1791,Le Havre,Malembo,Cap Français,356,340,"0,5","0,29412","0,20588",,52,364
1613,,Luanda,Santo Tomas,359,287,"0,6944444","0,30555555","0,20588236",,,
1811,Havana,"West Central Africa and St. Helena, port unspecified",Havana,387,334,"0,57576","0,21818","0,20606",,52,289
1724,London,Cabinda,Buenos Aires,325,375,"0,67692","0,11692","0,20615",,78,280
1786,London,Anomabu,"Grenada, place unspecified",300,291,"0,59107","0,20275","0,20619",9,52,148
1681,London,"Whydah, Ouidah","Jamaica, place unspecified",529,470,"0,42553","0,36809","0,20638",59,78,
1705,London,Cape Coast Castle,Saint John (Antigua),590,539,"0,41477","0,37879","0,20644",51,52,344
1757,Zeeland,"Gold Coast, port unspecified","Suriname, place unspecified",268,203,"0,40761","0,38587","0,20652",65,129,439
1818,,"Africa, port unspecified",Havana,95,92,"0,6086956","0,18478261","0,20652173",,95,
1816,,"Africa, port unspecified",Havana,357,300,"0,72","0,07333333","0,20666666",,50,
1812,,"Africa, port unspecified",Havana,131,116,"0,66379","0,12931","0,2069",,,
1819,,"Africa, port unspecified",Havana,274,261,"0,59004","0,20307","0,2069",,,
1768,Nantes,"Gold Coast, Fr. definition",Port-de-Paix,209,174,"0,47701","0,31609","0,2069",,89,250
1792,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Grenada, place unspecified",360,339,"0,47813","0,31487","0,207",21,41,201
1766,Nantes,"Gold Coast, Fr. definition",Léogane,398,198,"0,32828","0,46465","0,20707",200,,500
1792,"Rhode Island, port unspecified","Africa, port unspecified",Havana,135,169,"0,48521","0,30769","0,2071",,,
1684,London,"West Central Africa and St. Helena, port unspecified","Barbados, place unspecified",610,580,"0,54577","0,24698","0,20725",30,,352
1724,Bristol,"Africa, port unspecified",Charleston,245,196,,,"0,20725",,,281
1791,Liverpool,Iles de Los,"Grenada, place unspecified",433,410,"0,53902","0,25366","0,20732",,39,476
1720,Nantes,"Whydah, Ouidah","Martinique, place unspecified",183,164,"0,40244","0,39024","0,20732",19,83,204
1716,Honfleur,Gorée,Léogane,411,402,"0,37975","0,62025","0,20736",9,33,157
1770,Lisbon,Bissau,Pará,198,198,"0,37766","0,41489","0,20745",0,,
1792,London,Cape Coast Castle,"Grenada, place unspecified",101,101,"0,44554","0,34653","0,20792",0,70,283
1724,,Christiansborg,"Danish West Indies, colony unspecified",415,351,"0,64865","0,35135","0,20795",64,,
1783,Liverpool,Calabar,"Tortola, port unspecified",504,442,"0,58145","0,21041","0,20814",,,
1757,"Rhode Island, port unspecified",Anomabu,Kingston,121,114,"0,55208","0,23958","0,20833",7,76,396
1778,Le Havre,"Gold Coast, Fr. definition",Cap Français,838,719,"0,48679","0,30459","0,20862",,,148
1828,"Bahia, place unspecified","Whydah, Ouidah",Freetown,218,153,"0,41772","0,37342","0,20886",65,76,210
1796,Liverpool,Windward Coast (Nunez - Assini),"Barbados, place unspecified",246,225,"0,48","0,31111","0,20889",,,280
1789,,Danish Gold Coast,St. Croix,301,287,"0,47038","0,32056","0,20906",14,,
1790,Liverpool,New Calabar,"Grenada, place unspecified",287,263,"0,51711","0,27376","0,20913",,,141
1840,Rio de Janeiro,Cabinda,Freetown,48,43,"0,74419","0,04651","0,2093",,19,56
1771,Saint-Malo,Loango,Cap Français,404,397,"0,55814","0,23256","0,2093",7,67,371
1767,Nantes,"Bight of Benin, place unspecified",Cayes (Les),344,200,"0,45","0,34","0,21",144,,504
1816,,"Africa, port unspecified",Havana,304,295,"0,5966102","0,19322033","0,2101695",,50,
1812,Havana,"Africa, port unspecified",Havana,80,76,"0,67105","0,11842","0,21053",,,
1793,Bristol,Iles de Los,Kingston,273,266,"0,46992","0,31955","0,21053",7,,262
1789,Liverpool,"Gold Coast, port unspecified",Kingston,362,332,"0,38855","0,4006","0,21084",,,219
1792,Middelburg,Cape Lahou,"Suriname, place unspecified",226,220,"0,44037","0,34862","0,21101",4,66,528
1791,"Jamaica, place unspecified","Gold Coast, port unspecified",Kingston,238,232,"0,49569","0,2931","0,21121",6,59,
1761,Lisbon,Bissau,Pará,147,146,"0,50365","0,31387","0,21127",,,
1780,Lisbon,Bissau,Maranhão,211,208,"0,45024","0,34597","0,21127",3,51,135
1815,Havana,"Africa, port unspecified",Havana,640,572,"0,5751748","0,21328671","0,21153846",,64,272
1799,Bristol (RI),"Africa, port unspecified",Havana,120,104,"0,67308","0,11538","0,21154",16,,220
1770,Saint-Malo,Malembo,Cap Français,285,260,"0,58077","0,20769","0,21154",25,71,407
1791,Liverpool,Calabar,"Jamaica, place unspecified",335,307,"0,45603","0,33225","0,21173",,,
1791,Liverpool,New Calabar,"Dominica, place unspecified",190,170,"0,46471","0,32353","0,21176",,,251
1747,Rio de Janeiro,Luanda,Rio de Janeiro,510,456,,,"0,21176",,,
1848,Rio de Janeiro,Gallinhas,Freetown,546,491,"0,59267","0,19552","0,21181",,,
1816,Havana,"Africa, port unspecified",Havana,135,118,"0,44915","0,33898","0,21186",,,
1818,Havana,"Africa, port unspecified",Havana,364,354,"0,36158192","0,42655367","0,21186441",,40,250
1775,Zeeland,Gabon,Demerara,163,132,"0,46212","0,32576","0,21212",,,569
1803,"Rhode Island, port unspecified",Cape Coast Castle,Havana,129,132,"0,58333","0,20455","0,21212",,,
1765,Nantes,"Windward Coast, place unspecified",,34,,"0,42424","0,36364","0,21212",,,
1841,Havana,Rio Pongo,"Cuba, port unspecified",324,292,"0,58219","0,20548","0,21233",,42,
1816,,"Africa, port unspecified",Havana,268,260,"0,6023166","0,18532819","0,21235521",,53,
1810,Cadiz,"Africa, port unspecified",Havana,136,113,"0,46902654","0,31858408","0,21238938",,,165
1705,London,"Africa, port unspecified","Montserrat, port unspecified",141,113,"0,28319","0,50442","0,21239",,,
1768,Nantes,"Whydah, Ouidah",Cap Français,570,386,"0,37565","0,41192","0,21244",184,98,374
1716,London,"Africa, port unspecified",Newcastle (Nevis),100,80,"0,4875","0,3","0,2125",,,
1771,Le Havre,"West Central Africa and St. Helena, port unspecified",Cap Français,470,428,"0,53037","0,25701","0,21262",,52,255
1839,Santiago de Cuba,Bissau,"Jamaica, place unspecified",175,174,"0,6092","0,17816","0,21264",1,27,
1803,Bordeaux,"Africa, port unspecified",Havana,412,368,"0,5","0,425","0,21277",,,
1717,Nantes,"Whydah, Ouidah",Léogane,232,202,"0,52475","0,26238","0,21287",30,90,221
1680,London,New Calabar,Newcastle (Nevis),170,141,"0,32407","0,46296","0,21296",29,,233
1793,Liverpool,"Whydah, Ouidah",Kingston,171,168,"0,5503","0,23669","0,21302",3,71,297
1791,,"Africa, port unspecified",Havana,346,292,"0,57045","0,21649","0,21306",,,
1791,Nantes,Porto Novo,Havana,402,346,"0,57045","0,21649","0,21306",,87,344
1757,Zeeland,Cape Lahou,Berbice,297,283,"0,43357","0,35315","0,21329",14,72,285
1792,Liverpool,Bassa,"Grenada, place unspecified",238,206,"0,47087","0,31553","0,21359",,,
1770,Saint-Malo,Cabinda,Cap Français,486,472,"0,58475","0,20127","0,21398",14,55,376
1816,Havana,"Africa, port unspecified",Havana,306,257,"0,59922","0,18677","0,21401",,,
1828,Havana,Popo,"Cuba, port unspecified",492,485,"0,60385","0,18201","0,21413",7,,
1757,Zeeland,Little Popo,"Suriname, place unspecified",247,195,"0,47252747","0,31318682","0,21428572",52,,
1817,Havana,"Africa, port unspecified",Havana,203,178,"0,5625","0,22321428","0,21428572",,,296
1814,Havana,Rio Pongo,Havana,139,122,"0,66071427","0,125","0,21428572",,31,116
1771,Nantes,Loango,Cap Français,320,308,"0,5649351","0,22077923","0,21428572",12,54,227
1811,,"Africa, port unspecified",Havana,249,224,"0,71429","0,07143","0,21429",,81,
1777,Nantes,Porto Novo,Port-au-Prince,599,550,"0,52896","0,25676","0,21429",28,114,262
1816,Havana,"Africa, port unspecified",Havana,283,275,"0,59636","0,18909","0,21455",,,
1686,London,"Whydah, Ouidah","Jamaica, place unspecified",624,474,"0,40129","0,38412","0,21459",,,251
1681,London,Ardra,"Jamaica, place unspecified",288,219,"0,39269","0,39269","0,21461",,,
1790,Middelburg,Cape Lahou,"Suriname, place unspecified",242,220,"0,32984","0,4555","0,21466",22,64,606
1815,Havana,"Africa, port unspecified",Havana,263,256,"0,59766","0,1875","0,21484",,,201
1771,Liverpool,Calabar,"Dominica, place unspecified",190,186,"0,53226","0,25269","0,21505",4,,
1715,Nantes,Jacquin,"Martinique, place unspecified",504,437,"0,63616","0,14874","0,2151",67,92,232
1778,La Rochelle,"Whydah, Ouidah",Port-au-Prince,507,488,"0,44877","0,33607","0,21516",19,101,321
1787,Liverpool,"Gold Coast, port unspecified",Kingston,609,590,"0,57797","0,20678","0,21525",19,51,352
1788,Liverpool,Cameroons,"Grenada, place unspecified",113,105,"0,55385","0,23077","0,21538",,,
1790,"Grenada, place unspecified",Bundy,"Grenada, place unspecified",70,65,"0,55385","0,23077","0,21538",,,
1769,Bordeaux,"Africa, port unspecified",Cap Français,470,413,"0,45762712","0,32687652","0,21549636",,,163
1701,London,"Whydah, Ouidah","Jamaica, place unspecified",356,303,"0,37918","0,4052","0,21561",,,303
1774,Lisbon,Bissau,Pará,102,91,"0,38235","0,40196","0,21569",,61,129
1773,Nantes,Loango,Cap Français,350,343,"0,5714286","0,212828","0,21574344",7,51,323
1619,San Lucar,Luanda,Veracruz,349,279,"0,57277","0,21127","0,21596",,,733
1792,Liverpool,Ambriz,"Grenada, place unspecified",245,236,"0,55508","0,22881","0,2161",9,40,220
1792,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Grenada, place unspecified",338,319,"0,41066","0,37304","0,2163",19,,265
1770,Zeeland,Cape Lahou,"Suriname, place unspecified",194,194,"0,41237","0,37113","0,21649",0,52,278
1815,Havana,"Africa, port unspecified",Havana,137,120,"0,30833334","0,475","0,21666667",,29,74
1794,Liverpool,Ambriz,Kingston,240,233,"0,5625","0,22083","0,21667",7,58,214
1808,,"Sierra Leone, port unspecified",Freetown,68,60,"0,74468","0,25532","0,21667",,79,
1769,Le Havre,Loango,Cap Français,485,456,"0,58991","0,19298","0,21711",29,59,332
1785,,"Gold Coast, port unspecified","Danish West Indies, colony unspecified",290,229,"0,48621","0,29655","0,21724",61,,
1717,Nantes,"Africa, port unspecified",Cap Français,362,290,"0,47241","0,31034","0,21724",,,147
1781,,Danish Gold Coast,"Danish West Indies, colony unspecified",540,510,"0,52745","0,2549","0,21765",30,,
1794,"Rhode Island, port unspecified",Cape Coast Castle,Havana,99,124,"0,64516","0,1371","0,21774",,,
1794,"Rhode Island, port unspecified","Africa, port unspecified",Havana,113,101,"0,64356","0,13861","0,21782",12,,318
1818,,"Africa, port unspecified",Havana,400,351,"0,5261628","0,25581396","0,21802326",,64,
1817,Havana,,Havana,125,110,"0,55454546","0,22727273","0,21818182",,,
1774,Nantes,Cabinda,Cap Français,343,339,"0,50442","0,27729","0,21829",4,67,335
1818,,"Africa, port unspecified",Havana,486,426,"0,5469484","0,23474178","0,21830986",,34,
1704,London,"Africa, port unspecified","Jamaica, place unspecified",401,174,"0,41549295","0,36619717","0,21830986",227,104,293
1706,Texel,Malembo,Curaçao,705,650,"0,56312","0,21844","0,21844",55,62,334
1766,Le Havre,Accra,Saint-Marc,296,256,"0,40234","0,37891","0,21875",,189,470
1769,Saint-Malo,"West Central Africa and St. Helena, port unspecified",Cap Français,448,448,"0,50893","0,27232","0,21875",0,54,454
1792,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Jamaica, place unspecified",324,312,"0,4","0,38095","0,21905",12,53,208
1816,Havana,"Africa, port unspecified",Havana,337,283,"0,59363955","0,18727915","0,21908127",,,342
1737,Nantes,Badagry/Apa,"Martinique, place unspecified",308,269,"0,60595","0,17472","0,21933",,119,321
1745,Nantes,Epe,"Martinique, place unspecified",175,269,"0,52045","0,26022","0,21933",,87,493
1817,Havana,"Africa, port unspecified",Havana,569,478,"0,22384937","0,55648535","0,21966527",,,180
1789,Le Havre,Saint-Louis,Port-au-Prince,300,285,"0,53333","0,24667","0,22",15,68,357
1793,Bristol,Bonny,Martha Brae,400,355,"0,4375","0,3425","0,22",45,38,235
1818,Havana,"Africa, port unspecified",Havana,497,436,"0,35779816","0,42201835","0,22018349",,41,211
1818,Cadiz,"Africa, port unspecified",Havana,405,336,"0,5327381","0,2470238","0,22023809",,41,244
1793,Liverpool,"Bight of Benin, place unspecified","St. Vincent, port unspecified",171,168,"0,58929","0,19048","0,22024",3,85,544
1769,Liverpool,Cameroons,"Barbados, place unspecified",143,127,"0,54331","0,23622","0,22047",,,238
1814,Havana,"Africa, port unspecified",Havana,300,263,"0,53992397","0,23954372","0,22053231",,77,186
1791,Salem,Sierra Leone estuary,Havana,93,68,"0,52941","0,25","0,22059",25,,
1778,Le Havre,"Whydah, Ouidah",Cap Français,560,496,"0,62395","0,15546","0,22059",64,112,339
1820,,"Africa, port unspecified",Havana,380,344,"0,49419","0,28488","0,22093",,,
1725,Hellevoetsluis,"Whydah, Ouidah","Suriname, place unspecified",643,611,"0,60556","0,17349","0,22095",,53,322
1817,,"Africa, port unspecified",Havana,98,95,"0,6105263","0,16842106","0,22105263",,29,
1722,Nantes,Windward + Ivory + Gold + Benin,Cap Français,131,104,"0,43269","0,34615","0,22115",27,95,255
1730,"Pernambuco, place unspecified",Elmina,"Pernambuco, place unspecified",113,104,"0,77876",0,"0,22124",,,
1793,Nantes,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",136,122,"0,6210526","0,37894738","0,22131148",14,78,250
1736,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,330,300,,,"0,22137",,,291
1796,Liverpool,Anomabu,"Barbados, place unspecified",147,140,"0,62143","0,15714","0,22143",,,309
1790,"Dominica, place unspecified",Gambia,Havana,215,200,"0,53797","0,24051","0,22152",,,296
1775,Lisbon,Cacheu,Pará,176,165,"0,51705","0,26136","0,22159",11,108,166
1798,"Gustavia, St. Barthélemy","Africa, port unspecified",Havana,206,185,"0,7027","0,07568","0,22162",,,303
1786,Bristol,Bonny,"British Caribbean, colony unspecified",414,379,"0,50923","0,26913","0,22164",,,195
1779,Zeeland,Cape Lahou,Essequibo,202,197,"0,52217","0,25616","0,22167",5,,333
1774,Lisbon,Cacheu,Maranhão,221,210,"0,41176","0,36652","0,22172",,41,97
1805,Bristol (RI),Iles de Los,Havana,285,345,"0,62162","0,15616","0,22222",,42,219
1820,,Rio Pongo,Freetown,31,27,"0,55556","0,22222","0,22222",,,
1734,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",526,440,,,"0,22243",,,
1688,London,"Whydah, Ouidah","Barbados, place unspecified",575,437,"0,42623","0,35129","0,22248",,83,269
1752,Nantes,Gorée,"Martinique, place unspecified",500,485,"0,5134","0,26392","0,22268",15,21,74
1819,,"Africa, port unspecified",Havana,349,314,"0,41401","0,36306","0,22293",,,
1790,Lancaster,Bassa,"Grenada, place unspecified",142,130,"0,46923","0,30769","0,22308",,,
1733,,Christiansborg,"Danish West Indies, colony unspecified",443,244,"0,5124","0,26446","0,22314",199,,
1793,Liverpool,New Calabar,Montego Bay,343,233,"0,54936","0,22747","0,22318",,,289
1773,Liverpool,Calabar,Montego Bay,192,170,"0,48235","0,29412","0,22353",,,
1720,Nantes,"Whydah, Ouidah",Léogane,418,313,"0,52077","0,25559","0,22364",105,92,240
1643,"Netherlands, port unspecified",Luanda,"Pernambuco, place unspecified",688,586,"0,43459","0,34157","0,22384",,55,
1778,Le Havre,"Whydah, Ouidah",Port-au-Prince,480,415,"0,46024","0,31566","0,2241",65,,385
1803,Bordeaux,Congo River,New Orleans,213,174,"0,49425","0,28161","0,22414",,,
1791,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Dominica, place unspecified",204,187,"0,40107","0,37433","0,2246",,50,262
1701,London,"Whydah, Ouidah",Newcastle (Nevis),209,178,"0,47753","0,29775","0,22472",,,324
1793,Liverpool,"Whydah, Ouidah","St. Vincent, port unspecified",81,80,"0,4","0,375","0,225",1,51,307
1815,,"Africa, port unspecified",Trinidad de Cuba,511,457,"0,44167","0,33333","0,225",,,
1701,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River,75,57,"0,325","0,45","0,225",,,279
1792,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Montego Bay,208,182,"0,37363","0,4011","0,22527",26,55,285
1791,Liverpool,Iles de Los,"Grenada, place unspecified",153,142,"0,53521","0,23944","0,22535",,,278
1811,Charleston,Congo River,"Bahamas, port unspecified",219,204,"0,51961","0,2549","0,22549",15,,237
1705,London,"Whydah, Ouidah","Jamaica, place unspecified",550,400,"0,47272727","0,3012987","0,22597402",150,85,388
1815,Havana,"Africa, port unspecified",Havana,136,119,"0,33043477","0,44347826","0,22608696",,45,120
1779,,"Africa, port unspecified","Danish West Indies, colony unspecified",592,552,"0,52899","0,24457","0,22645",40,,
1816,"Cuba, port unspecified",Gallinhas,Freetown,316,277,"0,62393","0,14957","0,2265",,,77
1806,Bristol (RI),Sierra Leone estuary,Havana,129,128,"0,64844","0,125","0,22656",1,59,176
1806,,,Havana,183,150,"0,71333","0,06","0,22667",,,
1800,,"Africa, port unspecified",Havana,91,75,"0,53333","0,24","0,22667",,,
1720,Nantes,"Whydah, Ouidah",Cap Français,180,150,"0,46","0,31333","0,22667",30,87,216
1797,London,Sierra Leone estuary,Kingston,410,375,"0,43417","0,33894","0,22689",,,282
1776,Lisbon,Cacheu,Pará,207,194,"0,48792","0,28502","0,22705",,38,115
1792,Marseille,Mozambique,Havana,550,414,"0,6401","0,13285","0,22705",136,,344
1792,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",235,229,"0,51092","0,26201","0,22707",6,63,209
1741,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,559,485,,,"0,22719",,,
1805,Bristol (RI),"Africa, port unspecified",Havana,77,66,"0,74242","0,0303","0,22727",11,101,224
1817,Havana,"Africa, port unspecified",Havana,131,110,"0,6363636","0,13636364","0,22727273",,50,288
1729,Texel,Jacquin,Curaçao,779,602,"0,50166","0,27076","0,22757",,75,314
1750,,Christiansborg,"Danish West Indies, colony unspecified",212,179,"0,43671","0,33544","0,22785",33,,
1718,Le Havre,"Africa, port unspecified",Cap Français,367,294,"0,45238","0,31973","0,22789",,,234
1791,Rochefort,Bonny,Port-au-Prince,275,262,"0,4779412","0,29411766","0,22794117",13,88,266
1789,Liverpool,New Calabar,"Grenada, place unspecified",359,329,"0,37386","0,39818","0,22796",,,267
1792,Liverpool,Sierra Leone estuary,Montego Bay,306,193,"0,58549","0,18653","0,22798",,,555
1777,Liverpool,Cameroons River,"Dominica, place unspecified",421,386,"0,67617","0,09585","0,22798",,,395
1830,Havana,Little Bassa,Freetown,186,183,"0,45652","0,31522","0,22826",3,,261
1830,Cape Verde Islands,Rio Pongo,Freetown,35,35,"0,4","0,37143","0,22857",0,,
1811,,"Africa, port unspecified",Havana,39,35,"0,42857","0,34286","0,22857",,72,
1813,Havana,"Africa, port unspecified",Havana,194,170,"0,55","0,22143","0,22857",,,126
1848,"Bahia, place unspecified","Lagos, Onim",Freetown,388,361,"0,62125","0,14986","0,22888",27,23,149
1812,,"Africa, port unspecified",Havana,92,83,"0,44578314","0,3253012","0,22891566",,,
1805,Bristol (RI),,Havana,113,92,"0,63636","0,33333","0,22892",21,,167
1812,,"Africa, port unspecified",Havana,649,528,"0,59848","0,17235","0,22917",,,
1677,London,"West Central Africa and St. Helena, port unspecified","Barbados, place unspecified",437,375,"0,528","0,24266666","0,22933333",,,293
1785,Liverpool,Calabar,"Grenada, place unspecified",377,350,"0,38838","0,38226","0,22936",,,174
1749,Saint-Malo,Little Popo,"Martinique, place unspecified",110,109,"0,43119","0,33945","0,22936",1,137,432
1770,Bordeaux,"Africa, port unspecified",Basse-Terre,131,109,"0,49541","0,27523","0,22936",,,297
1672,,"Africa, port unspecified",Cartagena,935,664,"0,52542","0,24499","0,22958",,,
1768,Saint-Malo,Malembo,Cap Français,344,344,"0,56105","0,2093","0,22965",0,59,383
1813,,"Africa, port unspecified",Batabanó  ,91,74,"0,55405","0,21622","0,22973",,,
1770,Saint-Malo,Cabinda,Cap Français,320,309,"0,53074","0,23948","0,22977",11,74,485
1822,"Bahia, place unspecified",Porto Novo,Freetown,336,291,"0,28796","0,48168","0,23037",45,41,186
1788,Le Havre,Saint-Louis,"Saint-Domingue, then Haiti, port unspecified",267,216,"0,4375","0,33203","0,23047",51,73,144
